id,group,unique,value
Non-Hodgkin Lymphoma,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",77.6
Kidney & Urinary Tract,Wessex,Wessex,77.6
Colon,North Central and North East London,North Central and North East London,77.6
Kidney & Urinary Tract,North East and Cumbria,North East and Cumbria,77.6
Bladder,South East London,South East London,77.6
Kidney & Urinary Tract,Lancashire and South Cumbria,Lancashire and South Cumbria,77.5
Colon,North West and South West London,North West and South West London,77.5
Kidney & Urinary Tract,Greater Manchester,Greater Manchester,77.5
Kidney & Urinary Tract,West Midlands,West Midlands,77.5
Colorectal,Cheshire and Merseyside,Cheshire and Merseyside,77.3
Kidney & Urinary Tract,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",77.3
Kidney & Urinary Tract,Surrey and Sussex,Surrey and Sussex,77.3
Colon,Cheshire and Merseyside,Cheshire and Merseyside,77.3
Colon,South East London,South East London,77.3
Colorectal,East of England,East of England,77.2
Colorectal,"Humber, Coast and Vale","Humber, Coast and Vale",77.2
Kidney & Urinary Tract,Peninsula,Peninsula,77.2
Bladder,Greater Manchester,Greater Manchester,77.2
Non-Hodgkin Lymphoma,Greater Manchester,Greater Manchester,77.2
Colon,Peninsula,Peninsula,77.2
Colon,Thames Valley,Thames Valley,77.1
Colon,West Yorkshire and Harrogate,West Yorkshire and Harrogate,77
Kidney & Urinary Tract,West Midlands,West Midlands,76.9
Colon,East of England,East of England,76.9
Kidney & Urinary Tract,Lancashire and South Cumbria,Lancashire and South Cumbria,76.9
Colon,East Midlands,East Midlands,76.8
Colon,Lancashire and South Cumbria,Lancashire and South Cumbria,76.8
Bladder,Wessex,Wessex,76.8
Colon,West Midlands,West Midlands,76.8
Kidney & Urinary Tract,"Humber, Coast and Vale","Humber, Coast and Vale",76.7
Colorectal,North Central and North East London,North Central and North East London,76.5
Cervix,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",76.5
Cervix,Thames Valley,Thames Valley,76.5
Colorectal,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",76.5
Colon,Kent and Medway,Kent and Medway,76.4
Bladder,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",76.4
Colorectal,West Midlands,West Midlands,76.3
Colon,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",76.3
Colorectal,East Midlands,East Midlands,76.2
Colon,"Humber, Coast and Vale","Humber, Coast and Vale",76.1
Cervix,"Humber, Coast and Vale","Humber, Coast and Vale",76
Colon,Greater Manchester,Greater Manchester,76
Colorectal,Lancashire and South Cumbria,Lancashire and South Cumbria,75.9
Non-Hodgkin Lymphoma,Lancashire and South Cumbria,Lancashire and South Cumbria,75.9
Colorectal,North East and Cumbria,North East and Cumbria,75.9
Colon,West Yorkshire and Harrogate,West Yorkshire and Harrogate,75.9
Colon,North East and Cumbria,North East and Cumbria,75.9
Non-Hodgkin Lymphoma,Cheshire and Merseyside,Cheshire and Merseyside,75.8
Kidney & Urinary Tract,East of England,East of England,75.8
Colon,Peninsula,Peninsula,75.6
Colorectal,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",75.6
Colorectal,Greater Manchester,Greater Manchester,75.5
Colon,North Central and North East London,North Central and North East London,75.5
Non-Hodgkin Lymphoma,South East London,South East London,75.5
Kidney & Urinary Tract,East of England,East of England,75.4
Non-Hodgkin Lymphoma,Lancashire and South Cumbria,Lancashire and South Cumbria,75.4
Bladder,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",75.4
Colon,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",75.2
Cervix,Surrey and Sussex,Surrey and Sussex,75.2
Kidney & Urinary Tract,Kent and Medway,Kent and Medway,75.1
Colon,Cheshire and Merseyside,Cheshire and Merseyside,75
Myeloma,North East and Cumbria,North East and Cumbria,75
Non-Hodgkin Lymphoma,"Humber, Coast and Vale","Humber, Coast and Vale",75
Colon,East of England,East of England,74.9
Colon,Kent and Medway,Kent and Medway,74.8
Colon,East Midlands,East Midlands,74.7
Non-Hodgkin Lymphoma,North East and Cumbria,North East and Cumbria,74.5
Colon,West Midlands,West Midlands,74.4
Non-Hodgkin Lymphoma,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",74.2
Colon,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",73.9
Colon,Greater Manchester,Greater Manchester,73.7
Kidney & Urinary Tract,East Midlands,East Midlands,73.6
Colon,North East and Cumbria,North East and Cumbria,73.5
Kidney & Urinary Tract,East Midlands,East Midlands,73.4
Colon,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",73.3
Colon,"Humber, Coast and Vale","Humber, Coast and Vale",73.2
Colon,Lancashire and South Cumbria,Lancashire and South Cumbria,73.2
Bladder,North West and South West London,North West and South West London,72.7
Bladder,Peninsula,Peninsula,71.4
Bladder,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",69.2
Bladder,Cheshire and Merseyside,Cheshire and Merseyside,68.3
Bladder,Surrey and Sussex,Surrey and Sussex,67.9
Bladder,Thames Valley,Thames Valley,67.5
Bladder,Lancashire and South Cumbria,Lancashire and South Cumbria,66.2
Bladder,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",66.1
Bladder,East of England,East of England,65.1
Bladder,Wessex,Wessex,65
Bladder,North East and Cumbria,North East and Cumbria,64.6
Bladder,West Midlands,West Midlands,64.6
Bladder,Kent and Medway,Kent and Medway,64.5
Bladder,East Midlands,East Midlands,63.3
Bladder,Greater Manchester,Greater Manchester,62.2
Bladder,South East London,South East London,62
Bladder,West Yorkshire and Harrogate,West Yorkshire and Harrogate,60.9
Bladder,North Central and North East London,North Central and North East London,60.8
Stomach,South East London,South East London,56.3
Stomach,South East London,South East London,53.9
Oesophagus,South East London,South East London,52.8
Stomach,Wessex,Wessex,52.6
Stomach,North Central and North East London,North Central and North East London,51.4
Stomach,North West and South West London,North West and South West London,51.4
Stomach,North Central and North East London,North Central and North East London,51
Oesophagus,Peninsula,Peninsula,51
Stomach,Cheshire and Merseyside,Cheshire and Merseyside,50.6
Oesophagus,"Humber, Coast and Vale","Humber, Coast and Vale",50.4
Stomach,Peninsula,Peninsula,50.4
Stomach,North East and Cumbria,North East and Cumbria,50.3
Stomach,Wessex,Wessex,50.3
Oesophagus,North East and Cumbria,North East and Cumbria,50.2
Stomach,North West and South West London,North West and South West London,50.1
Stomach,North East and Cumbria,North East and Cumbria,50.1
Stomach,Thames Valley,Thames Valley,49.4
Oesophagus,Wessex,Wessex,49.3
Oesophagus,North West and South West London,North West and South West London,49.2
Oesophagus,Thames Valley,Thames Valley,49.2
Oesophagus,Lancashire and South Cumbria,Lancashire and South Cumbria,49
Oesophagus,Wessex,Wessex,48.9
Oesophagus,Thames Valley,Thames Valley,48.7
Stomach,West Yorkshire and Harrogate,West Yorkshire and Harrogate,48.7
Lung,North West and South West London,North West and South West London,48.6
Oesophagus,South East London,South East London,48.6
Stomach,West Yorkshire and Harrogate,West Yorkshire and Harrogate,48.5
Stomach,Surrey and Sussex,Surrey and Sussex,48.4
Stomach,Lancashire and South Cumbria,Lancashire and South Cumbria,48.2
Oesophagus,Peninsula,Peninsula,47.7
Oesophagus,Greater Manchester,Greater Manchester,47.5
Oesophagus,Surrey and Sussex,Surrey and Sussex,47.5
Stomach,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",47.4
Lung,West Yorkshire and Harrogate,West Yorkshire and Harrogate,47.4
Oesophagus,West Yorkshire and Harrogate,West Yorkshire and Harrogate,47.4
Oesophagus,East Midlands,East Midlands,47.3
Oesophagus,East of England,East of England,47.2
Stomach,East Midlands,East Midlands,47
Stomach,East of England,East of England,46.9
Oesophagus,North East and Cumbria,North East and Cumbria,46.9
Stomach,Thames Valley,Thames Valley,46.9
Lung,South East London,South East London,46.8
Oesophagus,Lancashire and South Cumbria,Lancashire and South Cumbria,46.7
Oesophagus,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",46.6
Stomach,Greater Manchester,Greater Manchester,46.4
Oesophagus,Surrey and Sussex,Surrey and Sussex,46.3
Stomach,East of England,East of England,46.2
Oesophagus,East Midlands,East Midlands,46.1
Stomach,Lancashire and South Cumbria,Lancashire and South Cumbria,46.1
Stomach,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",46
Stomach,Cheshire and Merseyside,Cheshire and Merseyside,46
Stomach,East Midlands,East Midlands,45.8
Lung,Peninsula,Peninsula,45.8
Oesophagus,North Central and North East London,North Central and North East London,45.8
Oesophagus,North West and South West London,North West and South West London,45.3
Stomach,West Midlands,West Midlands,45.3
Oesophagus,Greater Manchester,Greater Manchester,45.2
Stomach,Surrey and Sussex,Surrey and Sussex,45.1
Lung,Thames Valley,Thames Valley,45.1
Oesophagus,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",45
Oesophagus,East of England,East of England,44.7
Lung,North Central and North East London,North Central and North East London,44.4
Oesophagus,West Yorkshire and Harrogate,West Yorkshire and Harrogate,44.3
Oesophagus,West Midlands,West Midlands,44.3
Oesophagus,Cheshire and Merseyside,Cheshire and Merseyside,44.2
Lung,Cheshire and Merseyside,Cheshire and Merseyside,44.1
Oesophagus,Cheshire and Merseyside,Cheshire and Merseyside,44
Lung,Wessex,Wessex,43.8
Stomach,"Humber, Coast and Vale","Humber, Coast and Vale",43.8
Lung,Surrey and Sussex,Surrey and Sussex,43.3
Stomach,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",43.3
Stomach,Peninsula,Peninsula,43.2
Stomach,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",43.2
Lung,East of England,East of England,43.1
Lung,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",42.9
Oesophagus,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",42.9
Lung,East Midlands,East Midlands,42.5
Stomach,Kent and Medway,Kent and Medway,42.4
Stomach,Kent and Medway,Kent and Medway,42.4
Lung,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",42.3
Oesophagus,Kent and Medway,Kent and Medway,42.2
Oesophagus,North Central and North East London,North Central and North East London,42.1
Lung,Greater Manchester,Greater Manchester,42
Lung,North East and Cumbria,North East and Cumbria,41.8
Stomach,Greater Manchester,Greater Manchester,41.6
Oesophagus,Kent and Medway,Kent and Medway,41.1
Lung,West Midlands,West Midlands,40.7
Stomach,West Midlands,West Midlands,40.6
Lung,"Humber, Coast and Vale","Humber, Coast and Vale",40.1
Lung,North West and South West London,North West and South West London,39.9
Oesophagus,West Midlands,West Midlands,39.8
Lung,Kent and Medway,Kent and Medway,39.6
Lung,Lancashire and South Cumbria,Lancashire and South Cumbria,39.2
Lung,South East London,South East London,38.7
Lung,North Central and North East London,North Central and North East London,38.6
Lung,Thames Valley,Thames Valley,37.7
Lung,West Yorkshire and Harrogate,West Yorkshire and Harrogate,37.7
Lung,Cheshire and Merseyside,Cheshire and Merseyside,37.5
Lung,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",37.4
Lung,Wessex,Wessex,37
Lung,Greater Manchester,Greater Manchester,36.8
Lung,Peninsula,Peninsula,36.3
Lung,Surrey and Sussex,Surrey and Sussex,36
Lung,East of England,East of England,35.9
Lung,"Humber, Coast and Vale","Humber, Coast and Vale",35.7
Lung,East Midlands,East Midlands,35.6
Lung,North East and Cumbria,North East and Cumbria,35.5
Lung,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",35.2
Lung,West Midlands,West Midlands,34.1
Lung,Kent and Medway,Kent and Medway,33.5
Lung,Lancashire and South Cumbria,Lancashire and South Cumbria,32.9
