OBJECTID,LAD17CD,LAD17NM,LAD17NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
205,E07000187,Mendip, ,362238,144090,-2.54178,51.19476,740047208.501392,166041.575003115
206,E07000188,Sedgemoor, ,338426,143997,-2.88251,51.19185,566575017.375061,159422.852991413
207,E07000189,South Somerset, ,345633,120798,-2.77588,50.98399,959759671.955769,197170.161543146
208,E07000190,Taunton Deane, ,318327,123470,-3.16542,51.00479,463846773.194969,132671.747349202
209,E07000191,West Somerset, ,294768,136702,-3.50494,51.1199,727784304.202156,155417.603710821
210,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.70166,78962898.8439713,42546.0156025112
211,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.83651,390900954.769829,138248.674273638
212,E07000194,Lichfield, ,416283,310967,-1.76049,52.69615,327814810.388008,104497.03994122
213,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32631,53.00345,211249050.121872,88321.017246064
214,E07000196,South Staffordshire, ,389625,311037,-2.15495,52.69692,410806121.820786,153928.63333216
215,E07000197,Stafford, ,389001,327836,-2.16475,52.84792,599362075.237976,129693.236992027
216,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.06924,575743543.4487,119434.613239571
217,E07000199,Tamworth, ,421455,302550,-1.68451,52.62031,32347104.6611633,25197.196383778
218,E07000200,Babergh, ,599994,244657,0.916231,52.06418,593676636.72197,143326.336580109
219,E07000201,Forest Heath, ,572316,273586,0.527606,52.33331,380195488.767166,126029.143748068
220,E07000202,Ipswich, ,616954,244670,1.163267,52.05792,39654184.2159271,28945.8457614494
221,E07000203,Mid Suffolk, ,611646,262338,1.096953,52.21859,871754517.429367,159433.02982448
222,E07000204,St Edmundsbury, ,582672,265927,0.675273,52.26118,656348619.533508,160192.022451781
223,E07000205,Suffolk Coastal, ,633247,258767,1.410142,52.17783,907040027.688278,170728.01877381
224,E07000206,Waveney, ,642301,287890,1.563237,52.43525,370851997.587906,106519.876368526
225,E07000207,Elmbridge, ,511882,163658,-0.39441,51.36098,95837193.9353409,43341.2482386907
226,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.33945,34169963.2067795,26193.0382597917
227,E07000209,Guildford, ,500408,151481,-0.56257,51.25366,271329579.041779,103234.413216193
228,E07000210,Mole Valley, ,518377,148953,-0.30603,51.22749,256582222.755615,84343.244893302
229,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.25846,129993573.261703,60884.7224278629
230,E07000212,Runnymede, ,501777,166979,-0.53855,51.39273,78600941.1084595,38337.8678057413
231,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41552,51350033.4036331,35668.6196879631
232,E07000214,Surrey Heath, ,491362,160483,-0.68986,51.3361,95889847.0932541,47147.5560393123
233,E07000215,Tandridge, ,536365,150325,-0.04805,51.23581,250647601.464722,69462.7891955618
234,E07000216,Waverley, ,496363,140635,-0.62343,51.15686,345051103.330315,102748.864255879
235,E07000217,Woking, ,499087,157542,-0.57982,51.30837,62456746.871109,41321.5806273626
236,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.56484,282968992.288963,96168.0087062602
237,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.50094,78753599.3426666,40562.7221826893
238,E07000220,Rugby, ,446498,276244,-1.31828,52.38228,351693764.560043,96365.8757486388
239,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.16154,979953586.775391,216850.947519021
240,E07000222,Warwick, ,428484,267113,-1.58369,52.30142,282760137.312569,89639.1780988275
241,E07000223,Adur, ,518065,106473,-0.32433,50.84573,42252813.211441,31678.9038799544
242,E07000224,Arun, ,495145,105724,-0.64998,50.84321,222812431.082947,95900.6295663802
243,E07000225,Chichester, ,490285,116600,-0.7163,50.94177,783876546.598118,184167.063786175
244,E07000226,Crawley, ,526390,137581,-0.19533,51.12357,44513735.986084,33622.5589197399
245,E07000227,Horsham, ,513676,123839,-0.38123,51.00271,531961081.624321,127829.45190451
246,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.05953,334788185.684132,108146.09275649
247,E07000229,Worthing, ,512679,104948,-0.40127,50.8331,33116983.905098,25444.3661505165
248,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.36169,220053625.812706,91496.1102106187
249,E07000235,Malvern Hills, ,377465,252197,-2.33089,52.16758,575877174.891556,188764.873206803
250,E07000236,Redditch, ,403705,265253,-1.9471,52.28541,54346880.9906311,32242.8383213103
251,E07000237,Worcester, ,385725,255196,-2.21025,52.19482,33354896.7706757,23875.4003763133
252,E07000238,Wychavon, ,398991,247839,-2.01614,52.12886,663540532.981049,184496.328588967
253,E07000239,Wyre Forest, ,384106,276388,-2.23494,52.3853,195484323.17527,82667.7205356262
254,E07000240,St Albans, ,514580,209623,-0.3407,51.77356,160222815.60807,62858.6169367325
255,E07000241,Welwyn Hatfield, ,525345,208467,-0.18518,51.76087,130367027.273232,69376.3911017215
256,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.86485,478577180.00666,111236.827297628
257,E07000243,Stevenage, ,524622,224531,-0.18987,51.90539,24761091.3627625,22223.6675135463
258,E08000001,Bolton, ,368352,409873,-2.47952,53.58449,138505032.422928,65297.5693037152
259,E08000002,Bury, ,379658,410768,-2.3088,53.5931,102068120.726288,55168.2081217154
260,E08000003,Manchester, ,384591,397063,-2.23359,53.47009,113565108.792053,67323.4151695612
261,E08000004,Oldham, ,396603,406784,-2.05274,53.55768,144636435.618439,60130.1026251992
262,E08000005,Rochdale, ,390315,412326,-2.14784,53.60741,157053423.323273,69865.5927022235
263,E08000006,Salford, ,374556,398128,-2.38485,53.47927,98510093.3232574,56514.6035131669
264,E08000007,Stockport, ,391806,388264,-2.12467,53.39116,124962941.28508,55652.5906354784
265,E08000008,Tameside, ,394987,397995,-2.077,53.47867,103402903.109085,43260.1135270266
266,E08000009,Trafford, ,375790,391162,-2.36572,53.41671,107366649.533295,50483.4724183076
267,E08000010,Wigan, ,362136,402126,-2.57247,53.51445,187989997.57814,72138.2816277782
268,E08000011,Knowsley, ,344762,393778,-2.83297,53.43788,86297625.8825836,58314.1955076611
269,E08000012,Liverpool, ,339361,390553,-2.91364,53.4083,111473530.043915,55008.9125566659
270,E08000013,St. Helens, ,353412,395992,-2.7031,53.45862,136176675.008537,65631.8619990297
271,E08000014,Sefton, ,334264,398832,-2.99204,53.4821,156710296.699371,88950.851629329
272,E08000015,Wirral, ,329242,386937,-3.06502,53.37454,157494520.831902,55319.5230428201
273,E08000016,Barnsley, ,429979,403327,-1.54925,53.52577,330593962.894974,106879.981224323
274,E08000017,Doncaster, ,459167,403735,-1.10894,53.52697,568787811.327362,115029.557597265
275,E08000018,Rotherham, ,447542,388980,-1.28651,53.39553,286521142.054276,88035.7260310514
276,E08000019,Sheffield, ,430511,389736,-1.54254,53.40358,366553701.653625,113908.964189949
277,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65297,55.02101,114614109.824539,53356.0723970042
278,E08000022,North Tyneside, ,431471,570602,-1.50923,55.02896,83987250.6699219,47480.6634050387
279,E08000023,South Tyneside, ,435503,564057,-1.44696,54.96988,62562285.0543976,36119.5282544922
280,E08000024,Sunderland, ,436470,551525,-1.43344,54.8572,138654583.89502,59181.5499077339
281,E08000025,Birmingham, ,408150,287352,-1.88141,52.48404,267291592.045761,89016.3828639543
282,E08000026,Coventry, ,432807,279689,-1.51908,52.41423,99470156.2841949,43755.4052662409
283,E08000027,Dudley, ,393191,288584,-2.10171,52.49513,97481540.9579391,59578.6108111267
284,E08000028,Sandwell, ,399573,290764,-2.00771,52.51477,84589347.5501251,48111.8349772168
285,E08000029,Solihull, ,419434,281483,-1.71558,52.431,179468615.931023,81514.2350643484
286,E08000030,Walsall, ,402098,300804,-1.97044,52.60503,104735882.131371,50020.9358633383
287,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.59788,67927480.9253006,41285.3137168721
288,E08000032,Bradford, ,408395,438626,-1.87389,53.84382,366878724.097687,112934.638016824
289,E08000033,Calderdale, ,402617,424896,-1.96182,53.72048,365018430.342087,93926.3823662658
290,E08000034,Kirklees, ,414586,416223,-1.78085,53.64233,405651850.740906,107300.471653055
291,E08000035,Leeds, ,432528,436384,-1.50736,53.82273,552235701.919281,133089.799630235
292,E08000036,Wakefield, ,438366,418235,-1.42092,53.65922,337802556.990952,88598.8708481056
293,E08000037,Gateshead, ,420168,559658,-1.6868,54.9312,144008987.481049,66454.3487408449
