OBJECTID,LAD21CD,LAD21NM,LAD21NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
169,E07000147,North Norfolk,,611076,330857,1.132099,52.83389,961332405.820557,222421.342068947
170,E07000148,Norwich,,622355,309773,1.284979,52.64013,39013086.974884,35520.6943754003
171,E07000149,South Norfolk,,628990,295823,1.373233,52.51218,908690749.58194,197259.780692859
172,E07000163,Craven,,389513,461989,-2.16168,54.05376,1183446002.04614,173493.435786727
173,E07000164,Hambleton,,443009,490546,-1.34049,54.30872,1309001677.03976,256078.021722567
174,E07000165,Harrogate,,427473,464652,-1.58161,54.07708,1306604424.52837,211576.8818007
175,E07000166,Richmondshire,,401039,495786,-1.98552,54.35761,1322210844.88812,196158.860431074
176,E07000167,Ryedale,,475590,478890,-0.84277,54.20021,1510332018.59103,220961.599496
177,E07000168,Scarborough,,495798,495548,-0.52778,54.3465,816214508.069336,200713.225969069
178,E07000169,Selby,,457551,426670,-1.12908,53.73327,606340342.182861,145972.383478094
179,E07000170,Ashfield,,450035,355843,-1.25422,53.09747,108522422.369034,57593.506569122
180,E07000171,Bassetlaw,,468073,384835,-0.9787,53.35604,639297385.903076,136469.052799925
181,E07000172,Broxtowe,,449829,341893,-1.25944,52.9721,79451505.742569,52747.5671153141
182,E07000173,Gedling,,459184,347811,-1.11907,53.02434,120120105.895264,59267.8599647837
183,E07000174,Mansfield,,455047,363637,-1.17804,53.16703,78367820.4682922,45444.4194636808
184,E07000175,Newark and Sherwood,,470624,357451,-0.94643,53.1096,651135384.66629,159292.081065811
185,E07000176,Rushcliffe,,466606,335453,-1.01097,52.9124,410575266.204102,104457.668921033
186,E07000177,Cherwell,,449301,221201,-1.28506,51.8872,590762121.522362,184794.721033809
187,E07000178,Oxford,,452277,206368,-1.24405,51.75357,45105986.515358,30243.6411134712
188,E07000179,South Oxfordshire,,463890,191964,-1.07847,51.62288,676304174.131805,172264.462060174
189,E07000180,Vale of White Horse,,435693,195197,-1.48543,51.65443,582881906.936699,146014.889847101
190,E07000181,West Oxfordshire,,434343,215816,-1.50292,51.8399,713073679.60807,132447.034713829
191,E07000187,Mendip,,362238,144090,-2.54178,51.19476,740774473.206623,164479.721956446
192,E07000188,Sedgemoor,,338429,143998,-2.88246,51.19186,567104635.448452,160376.468424725
193,E07000189,South Somerset,,345633,120798,-2.77588,50.98399,962131762.632902,195453.927290764
194,E07000192,Cannock Chase,,401261,311553,-1.98277,52.70166,79674051.0893326,41988.8442549197
195,E07000193,East Staffordshire,,412601,326569,-1.81438,52.83651,394049050.302567,138083.089229006
196,E07000194,Lichfield,,416283,310967,-1.76049,52.69615,328434453.312813,104021.813450823
197,E07000195,Newcastle-under-Lyme,,378199,345174,-2.32631,53.00345,210621411.87487,87776.1226300062
198,E07000196,South Staffordshire,,389625,311037,-2.15495,52.69692,409479803.07016,152655.33275047
199,E07000197,Stafford,,389001,327836,-2.16475,52.84792,598925439.774628,128778.872274956
200,E07000198,Staffordshire Moorlands,,400543,352443,-1.99334,53.06924,576424736.127121,120005.200161328
201,E07000199,Tamworth,,421455,302550,-1.68451,52.62031,30613879.379425,25384.2756741617
202,E07000200,Babergh,,599987,244692,0.916149,52.0645,594923868.887527,143129.349209327
203,E07000202,Ipswich,,617161,244456,1.166145,52.05592,40844683.5324249,29187.8756753917
204,E07000203,Mid Suffolk,,611646,262338,1.096953,52.21859,873326991.566818,159692.968871504
205,E07000207,Elmbridge,,511882,163658,-0.39441,51.36098,95445511.9430771,43265.2412446416
206,E07000208,Epsom and Ewell,,521176,161475,-0.26172,51.33945,34819300.3767624,26065.5221260547
207,E07000209,Guildford,,500408,151481,-0.56257,51.25366,271962367.118828,104284.418643208
208,E07000210,Mole Valley,,518377,148953,-0.30603,51.22749,256062634.368309,84131.8441108174
209,E07000211,Reigate and Banstead,,525786,152574,-0.19871,51.25846,129075181.822792,61530.9442699762
210,E07000212,Runnymede,,501777,166979,-0.53855,51.39273,79350129.2237167,37971.652042701
211,E07000213,Spelthorne,,507012,169622,-0.46254,51.41552,51875873.9542999,34314.7997371659
212,E07000214,Surrey Heath,,491362,160483,-0.68986,51.3361,97022373.4408112,46464.6679289864
213,E07000215,Tandridge,,536365,150325,-0.04805,51.23581,247431183.307289,69706.0396709635
214,E07000216,Waverley,,496363,140635,-0.62343,51.15686,342995306.936611,103643.071903214
215,E07000217,Woking,,499087,157542,-0.57982,51.30837,61706657.2486191,41474.9128572706
216,E07000218,North Warwickshire,,425570,296399,-1.6242,52.56484,285090612.987732,96478.8783679953
217,E07000219,Nuneaton and Bedworth,,435419,289352,-1.47965,52.50094,77956834.2374802,40985.6677355621
218,E07000220,Rugby,,446498,276244,-1.31828,52.38228,349027031.216866,96983.2055659896
219,E07000221,Stratford-on-Avon,,425019,251536,-1.63565,52.16154,978913596.75515,218005.124607034
220,E07000222,Warwick,,428484,267113,-1.58369,52.30142,283003861.245522,91460.5108497818
221,E07000223,Adur,,518076,106472,-0.32417,50.84572,41256603.3216286,31646.783415363
222,E07000224,Arun,,495144,105723,-0.64999,50.84321,224516471.856541,96774.63907898
223,E07000225,Chichester,,490285,116600,-0.7163,50.94177,786850847.48756,182043.178219739
224,E07000226,Crawley,,526390,137581,-0.19533,51.12357,45831413.909523,33575.9682517556
225,E07000227,Horsham,,513674,123840,-0.38126,51.00272,530018507.857235,128161.261463293
226,E07000228,Mid Sussex,,533054,130623,-0.10272,51.05953,336802141.145512,108958.988468415
227,E07000229,Worthing,,512679,104948,-0.40127,50.8331,30613446.7289047,25741.8272547054
228,E07000234,Bromsgrove,,399840,273736,-2.00376,52.36169,218023975.656708,90567.1218321538
229,E07000235,Malvern Hills,,377465,252197,-2.33089,52.16758,579708192.719101,187652.468043311
230,E07000236,Redditch,,403705,265253,-1.9471,52.28541,55070558.6237106,32533.5085728282
231,E07000237,Worcester,,385725,255196,-2.21025,52.19482,34532079.0234528,23906.971747603
232,E07000238,Wychavon,,398991,247839,-2.01614,52.12886,659848231.501556,184017.0813052
233,E07000239,Wyre Forest,,384106,276388,-2.23494,52.3853,196196712.412308,82043.4435907608
234,E07000240,St Albans,,514580,209623,-0.3407,51.77356,158865311.523544,63002.8257210594
235,E07000241,Welwyn Hatfield,,525345,208467,-0.18518,51.76087,129449585.049072,69326.056596373
236,E07000242,East Hertfordshire,,537995,220370,0.002739,51.86485,477740926.486076,112056.933583335
237,E07000243,Stevenage,,524622,224531,-0.18987,51.90539,26824166.0814133,22050.2143265599
238,E07000244,East Suffolk,,636043,266272,1.456186,52.24399,1281500704.73772,230669.113043381
239,E07000245,West Suffolk,,580944,271124,0.652769,52.30842,1034496710.3861,220613.29740625
240,E07000246,Somerset West and Taunton,,304960,130228,-3.35766,51.06348,1191177862.39595,233156.431198163
241,E08000001,Bolton,,368352,409873,-2.47952,53.58449,138708159.810562,64700.0073741873
242,E08000002,Bury,,379658,410768,-2.3088,53.5931,100752668.832565,57024.343964005
243,E08000003,Manchester,,384591,397063,-2.23359,53.47009,111895372.049988,69389.3342447551
244,E08000004,Oldham,,396603,406784,-2.05274,53.55768,144009083.688797,60962.5161536524
245,E08000005,Rochdale,,390315,412326,-2.14784,53.60741,156240276.628983,70324.1997306319
246,E08000006,Salford,,374556,398128,-2.38485,53.47927,97966760.8522491,56607.4574926673
247,E08000007,Stockport,,391806,388264,-2.12467,53.39116,125536175.953476,56951.0021071987
248,E08000008,Tameside,,394987,397995,-2.077,53.47867,102159712.453125,43841.7215072139
249,E08000009,Trafford,,375790,391162,-2.36572,53.41671,108001520.134262,50772.1551214183
250,E08000010,Wigan,,362136,402126,-2.57247,53.51445,188328606.718338,71520.3471690432
251,E08000011,Knowsley,,344762,393778,-2.83297,53.43788,86257644.2380219,57788.9038805896
252,E08000012,Liverpool,,339361,390553,-2.91364,53.4083,112980859.111855,54583.1661367886
253,E08000013,St. Helens,,353412,395992,-2.7031,53.45862,135955079.347725,64907.6417699786
254,E08000014,Sefton,,334282,398832,-2.99177,53.4821,153196803.521736,90597.9255049208
255,E08000015,Wirral,,329110,386965,-3.06701,53.37478,152733378.913849,55500.4188905681
256,E08000016,Barnsley,,429979,403327,-1.54925,53.52577,327231730.553528,106147.881594816
257,E08000017,Doncaster,,459167,403735,-1.10894,53.52697,567273208.501099,116245.904311694
258,E08000018,Rotherham,,447542,388980,-1.28651,53.39553,289185192.302475,88845.3632514031
259,E08000019,Sheffield,,430511,389736,-1.54254,53.40358,366749529.310562,114173.751548161
260,E08000021,Newcastle upon Tyne,,422287,569661,-1.65297,55.021,113003066.389252,53430.2042780775
261,E08000022,North Tyneside,,431471,570602,-1.50923,55.02896,83783921.7871857,48717.7020726929
262,E08000023,South Tyneside,,435514,564057,-1.44679,54.96988,62186662.1738892,33704.0864721107
263,E08000024,Sunderland,,436470,551524,-1.43344,54.85719,136397343.069168,57291.2728352348
264,E08000025,Birmingham,,408150,287352,-1.88141,52.48404,269026608.653671,88776.3432187477
265,E08000026,Coventry,,432807,279689,-1.51908,52.41423,99799013.6588593,43481.4057273969
266,E08000027,Dudley,,393191,288584,-2.10171,52.49513,97264778.3219223,60125.2237570879
267,E08000028,Sandwell,,399573,290764,-2.00771,52.51477,85222122.4991226,48306.2485949548
268,E08000029,Solihull,,419434,281483,-1.71558,52.431,177542587.9058,82695.4607729411
269,E08000030,Walsall,,402098,300804,-1.97044,52.60503,104027261.810837,49836.8728324194
270,E08000031,Wolverhampton,,391463,300016,-2.12746,52.59788,69466620.7597809,41126.9610793456
271,E08000032,Bradford,,408395,438626,-1.87389,53.84382,368386843.278992,113226.190390702
272,E08000033,Calderdale,,402617,424896,-1.96182,53.72048,367618489.551361,94050.2456636643
273,E08000034,Kirklees,,414586,416223,-1.78085,53.64233,405306353.685074,106837.808448509
274,E08000035,Leeds,,432528,436384,-1.50736,53.82273,550578568.396973,133753.100779886
275,E08000036,Wakefield,,438366,418235,-1.42092,53.65922,337273075.097092,90373.7394989731
276,E08000037,Gateshead,,420159,559652,-1.68694,54.93115,147498927.158585,67931.2089342222
277,E09000001,City of London,,532382,181358,-0.09351,51.51564,2677121.54029846,6902.16449624465
278,E09000002,Barking and Dagenham,,547757,185111,0.129479,51.54555,36394133.785675,31246.0360022268
279,E09000003,Barnet,,523473,191752,-0.21819,51.61107,86664945.9042206,41943.7866617034
280,E09000004,Bexley,,549202,175434,0.146212,51.45822,61697815.9174805,36621.9965718303
281,E09000005,Brent,,519615,186465,-0.27568,51.56438,44179370.1184082,33216.3568265264
282,E09000006,Bromley,,542036,165707,0.039246,51.37266,150198717.658524,63022.478374478
283,E09000007,Camden,,527491,184283,-0.16291,51.54305,21269432.2465897,22059.4704119237
284,E09000008,Croydon,,533922,164744,-0.07761,51.36597,85975622.9609299,46714.4072791115
285,E09000009,Ealing,,517055,181959,-0.3141,51.52442,54703293.5004959,39296.8632324368
286,E09000010,Enfield,,532831,196198,-0.08144,51.64889,83007482.2971954,37695.486839901
287,E09000011,Greenwich,,542507,175878,0.050093,51.46394,47365109.4668427,37969.729649055
288,E09000012,Hackney,,534560,185787,-0.06045,51.55492,19832965.0710449,21351.2523509213
289,E09000013,Hammersmith and Fulham,,523867,177993,-0.21735,51.48733,17334834.7195663,20302.428508753
290,E09000014,Haringey,,531260,189349,-0.1067,51.58771,28656867.0462112,25726.8573241027
291,E09000015,Harrow,,515359,189736,-0.33598,51.59467,51801479.5922928,31182.0556027942
292,E09000016,Havering,,555032,187514,0.235368,51.56519,113343593.640938,58347.626843051
293,E09000017,Hillingdon,,508166,183121,-0.44182,51.53664,115513311.430077,55983.0930020593
294,E09000018,Hounslow,,512737,174959,-0.37855,51.46238,56820418.8694992,46714.5720246651
295,E09000019,Islington,,531160,184645,-0.10989,51.54546,15147055.2425613,17529.0688543184
296,E09000020,Kensington and Chelsea,,525756,179058,-0.18977,51.49648,11387818.7860947,17844.7683544188
297,E09000021,Kingston upon Thames,,519508,167389,-0.28367,51.39296,37995818.5028,33046.9870092212
298,E09000022,Lambeth,,531118,175629,-0.11385,51.46445,27177247.5817642,28899.8874209809
299,E09000023,Lewisham,,537888,173343,-0.01734,51.4423,34349575.7534714,30899.7611485654
